Cycles	Run	Rn
128	8	cdh7a*A4_cdh2_2	1.7087
129	9	cdh7a*A4_cdh2_2	1.704
130	10	cdh7a*A4_cdh2_2	1.7099
131	11	cdh7a*A4_cdh2_2	1.7058
132	12	cdh7a*A4_cdh2_2	1.7071
133	13	cdh7a*A4_cdh2_2	1.7084
134	14	cdh7a*A4_cdh2_2	1.7059
135	15	cdh7a*A4_cdh2_2	1.7069
136	16	cdh7a*A4_cdh2_2	1.7062
137	17	cdh7a*A4_cdh2_2	1.7027
138	18	cdh7a*A4_cdh2_2	1.7023
139	19	cdh7a*A4_cdh2_2	1.707
140	20	cdh7a*A4_cdh2_2	1.7077
141	21	cdh7a*A4_cdh2_2	1.7081
142	22	cdh7a*A4_cdh2_2	1.7079
143	23	cdh7a*A4_cdh2_2	1.7026
144	24	cdh7a*A4_cdh2_2	1.7085
145	25	cdh7a*A4_cdh2_2	1.7061
146	26	cdh7a*A4_cdh2_2	1.7097
147	27	cdh7a*A4_cdh2_2	1.7074
148	28	cdh7a*A4_cdh2_2	1.7085
149	29	cdh7a*A4_cdh2_2	1.7073
150	30	cdh7a*A4_cdh2_2	1.7092
151	31	cdh7a*A4_cdh2_2	1.7104
152	32	cdh7a*A4_cdh2_2	1.7139
153	33	cdh7a*A4_cdh2_2	1.72
154	34	cdh7a*A4_cdh2_2	1.7294
155	35	cdh7a*A4_cdh2_2	1.7449
156	36	cdh7a*A4_cdh2_2	1.781
157	37	cdh7a*A4_cdh2_2	1.8477
158	38	cdh7a*A4_cdh2_2	1.9881
159	39	cdh7a*A4_cdh2_2	2.2417
160	40	cdh7a*A4_cdh2_2	2.6112
161	1	cdh7a*A5_cdh2_2	1.8135
162	2	cdh7a*A5_cdh2_2	1.806
163	3	cdh7a*A5_cdh2_2	1.7979
164	4	cdh7a*A5_cdh2_2	1.7938
165	5	cdh7a*A5_cdh2_2	1.7889
166	6	cdh7a*A5_cdh2_2	1.7838
167	7	cdh7a*A5_cdh2_2	1.7838
168	8	cdh7a*A5_cdh2_2	1.7812
169	9	cdh7a*A5_cdh2_2	1.779
170	10	cdh7a*A5_cdh2_2	1.7781
171	11	cdh7a*A5_cdh2_2	1.7762
172	12	cdh7a*A5_cdh2_2	1.7741
173	13	cdh7a*A5_cdh2_2	1.7735
174	14	cdh7a*A5_cdh2_2	1.7759
175	15	cdh7a*A5_cdh2_2	1.7738
176	16	cdh7a*A5_cdh2_2	1.7735
177	17	cdh7a*A5_cdh2_2	1.7717
178	18	cdh7a*A5_cdh2_2	1.7727
179	19	cdh7a*A5_cdh2_2	1.7735
180	20	cdh7a*A5_cdh2_2	1.773
181	21	cdh7a*A5_cdh2_2	1.7743
182	22	cdh7a*A5_cdh2_2	1.7708
183	23	cdh7a*A5_cdh2_2	1.7719
184	24	cdh7a*A5_cdh2_2	1.7706
185	25	cdh7a*A5_cdh2_2	1.7682
186	26	cdh7a*A5_cdh2_2	1.7702
187	27	cdh7a*A5_cdh2_2	1.7679
188	28	cdh7a*A5_cdh2_2	1.7707
189	29	cdh7a*A5_cdh2_2	1.7702
190	30	cdh7a*A5_cdh2_2	1.7726
191	31	cdh7a*A5_cdh2_2	1.7726
192	32	cdh7a*A5_cdh2_2	1.7742
193	33	cdh7a*A5_cdh2_2	1.7765
194	34	cdh7a*A5_cdh2_2	1.7811
195	35	cdh7a*A5_cdh2_2	1.7911
196	36	cdh7a*A5_cdh2_2	1.8135
197	37	cdh7a*A5_cdh2_2	1.8524
198	38	cdh7a*A5_cdh2_2	1.9316
199	39	cdh7a*A5_cdh2_2	2.0868
200	40	cdh7a*A5_cdh2_2	2.3642
201	1	cdh7a*A6_cdh2_2	1.8421
202	2	cdh7a*A6_cdh2_2	1.832
203	3	cdh7a*A6_cdh2_2	1.7435
204	4	cdh7a*A6_cdh2_2	1.7337
205	5	cdh7a*A6_cdh2_2	1.7282
206	6	cdh7a*A6_cdh2_2	1.7264
207	7	cdh7a*A6_cdh2_2	1.7236
208	8	cdh7a*A6_cdh2_2	1.7241
209	9	cdh7a*A6_cdh2_2	1.7222
210	10	cdh7a*A6_cdh2_2	1.7231
211	11	cdh7a*A6_cdh2_2	1.7199
212	12	cdh7a*A6_cdh2_2	1.7204
213	13	cdh7a*A6_cdh2_2	1.7213
214	14	cdh7a*A6_cdh2_2	1.7203
215	15	cdh7a*A6_cdh2_2	1.7226
216	16	cdh7a*A6_cdh2_2	1.7209
217	17	cdh7a*A6_cdh2_2	1.7215
218	18	cdh7a*A6_cdh2_2	1.7223
219	19	cdh7a*A6_cdh2_2	1.7229
220	20	cdh7a*A6_cdh2_2	1.7231
221	21	cdh7a*A6_cdh2_2	1.7223
222	22	cdh7a*A6_cdh2_2	1.723
223	23	cdh7a*A6_cdh2_2	1.7241
224	24	cdh7a*A6_cdh2_2	1.7252
225	25	cdh7a*A6_cdh2_2	1.7246
226	26	cdh7a*A6_cdh2_2	1.7252
227	27	cdh7a*A6_cdh2_2	1.7239
228	28	cdh7a*A6_cdh2_2	1.7266
229	29	cdh7a*A6_cdh2_2	1.7276
230	30	cdh7a*A6_cdh2_2	1.728
231	31	cdh7a*A6_cdh2_2	1.7312
232	32	cdh7a*A6_cdh2_2	1.7349
233	33	cdh7a*A6_cdh2_2	1.745
234	34	cdh7a*A6_cdh2_2	1.7648
235	35	cdh7a*A6_cdh2_2	1.801
236	36	cdh7a*A6_cdh2_2	1.8752
237	37	cdh7a*A6_cdh2_2	2.0199
238	38	cdh7a*A6_cdh2_2	2.2789
239	39	cdh7a*A6_cdh2_2	2.6648
240	40	cdh7a*A6_cdh2_2	3.1235
241	1	cdh7a*A7_scr2_1	1.6913
242	2	cdh7a*A7_scr2_1	1.6951
243	3	cdh7a*A7_scr2_1	1.6865
244	4	cdh7a*A7_scr2_1	1.6811
245	5	cdh7a*A7_scr2_1	1.6722
246	6	cdh7a*A7_scr2_1	1.662
247	7	cdh7a*A7_scr2_1	1.6594
248	8	cdh7a*A7_scr2_1	1.6559
249	9	cdh7a*A7_scr2_1	1.6495
250	10	cdh7a*A7_scr2_1	1.6497
251	11	cdh7a*A7_scr2_1	1.6451
252	12	cdh7a*A7_scr2_1	1.6418
253	13	cdh7a*A7_scr2_1	1.643
254	14	cdh7a*A7_scr2_1	1.6395
255	15	cdh7a*A7_scr2_1	1.645
256	16	cdh7a*A7_scr2_1	1.6417
257	17	cdh7a*A7_scr2_1	1.6439
258	18	cdh7a*A7_scr2_1	1.6438
259	19	cdh7a*A7_scr2_1	1.6431
260	20	cdh7a*A7_scr2_1	1.6634
261	21	cdh7a*A7_scr2_1	1.6644
262	22	cdh7a*A7_scr2_1	1.6644
