Cycles	Run	Rn
134	14	gapdh*A4_cdh1_2	1.0635
135	15	gapdh*A4_cdh1_2	1.067
136	16	gapdh*A4_cdh1_2	1.0659
137	17	gapdh*A4_cdh1_2	1.0666
138	18	gapdh*A4_cdh1_2	1.0647
139	19	gapdh*A4_cdh1_2	1.066
140	20	gapdh*A4_cdh1_2	1.0646
141	21	gapdh*A4_cdh1_2	1.0616
142	22	gapdh*A4_cdh1_2	1.065
143	23	gapdh*A4_cdh1_2	1.0644
144	24	gapdh*A4_cdh1_2	1.0643
145	25	gapdh*A4_cdh1_2	1.0631
146	26	gapdh*A4_cdh1_2	1.0639
147	27	gapdh*A4_cdh1_2	1.0639
148	28	gapdh*A4_cdh1_2	1.0643
149	29	gapdh*A4_cdh1_2	1.0636
150	30	gapdh*A4_cdh1_2	1.0649
151	31	gapdh*A4_cdh1_2	1.0657
152	32	gapdh*A4_cdh1_2	1.0652
153	33	gapdh*A4_cdh1_2	1.068
154	34	gapdh*A4_cdh1_2	1.0726
155	35	gapdh*A4_cdh1_2	1.0783
156	36	gapdh*A4_cdh1_2	1.0974
157	37	gapdh*A4_cdh1_2	1.13
158	38	gapdh*A4_cdh1_2	1.1976
159	39	gapdh*A4_cdh1_2	1.3237
160	40	gapdh*A4_cdh1_2	1.522
161	1	gapdh*A5_cdh1_2	1.0469
162	2	gapdh*A5_cdh1_2	1.051
163	3	gapdh*A5_cdh1_2	1.0897
164	4	gapdh*A5_cdh1_2	1.0892
165	5	gapdh*A5_cdh1_2	1.091
166	6	gapdh*A5_cdh1_2	1.0906
167	7	gapdh*A5_cdh1_2	1.0921
168	8	gapdh*A5_cdh1_2	1.0916
169	9	gapdh*A5_cdh1_2	1.09
170	10	gapdh*A5_cdh1_2	1.0918
171	11	gapdh*A5_cdh1_2	1.09
172	12	gapdh*A5_cdh1_2	1.0896
173	13	gapdh*A5_cdh1_2	1.0894
174	14	gapdh*A5_cdh1_2	1.089
175	15	gapdh*A5_cdh1_2	1.0885
176	16	gapdh*A5_cdh1_2	1.0894
177	17	gapdh*A5_cdh1_2	1.0885
178	18	gapdh*A5_cdh1_2	1.0871
179	19	gapdh*A5_cdh1_2	1.0879
180	20	gapdh*A5_cdh1_2	1.0876
181	21	gapdh*A5_cdh1_2	1.088
182	22	gapdh*A5_cdh1_2	1.0861
183	23	gapdh*A5_cdh1_2	1.0876
184	24	gapdh*A5_cdh1_2	1.0873
185	25	gapdh*A5_cdh1_2	1.0862
186	26	gapdh*A5_cdh1_2	1.086
187	27	gapdh*A5_cdh1_2	1.0865
188	28	gapdh*A5_cdh1_2	1.0876
189	29	gapdh*A5_cdh1_2	1.0872
190	30	gapdh*A5_cdh1_2	1.0888
191	31	gapdh*A5_cdh1_2	1.0897
192	32	gapdh*A5_cdh1_2	1.0918
