Cycles	Run	Rn
129	9	pdgfra*A4_pdg1-2	1.3732
130	10	pdgfra*A4_pdg1-2	1.3751
131	11	pdgfra*A4_pdg1-2	1.3733
132	12	pdgfra*A4_pdg1-2	1.3742
133	13	pdgfra*A4_pdg1-2	1.3731
134	14	pdgfra*A4_pdg1-2	1.3743
135	15	pdgfra*A4_pdg1-2	1.374
136	16	pdgfra*A4_pdg1-2	1.3744
137	17	pdgfra*A4_pdg1-2	1.3741
138	18	pdgfra*A4_pdg1-2	1.3761
139	19	pdgfra*A4_pdg1-2	1.377
140	20	pdgfra*A4_pdg1-2	1.3768
141	21	pdgfra*A4_pdg1-2	1.3783
142	22	pdgfra*A4_pdg1-2	1.3774
143	23	pdgfra*A4_pdg1-2	1.3788
144	24	pdgfra*A4_pdg1-2	1.3814
145	25	pdgfra*A4_pdg1-2	1.3854
146	26	pdgfra*A4_pdg1-2	1.3914
147	27	pdgfra*A4_pdg1-2	1.4058
148	28	pdgfra*A4_pdg1-2	1.4335
149	29	pdgfra*A4_pdg1-2	1.4842
150	30	pdgfra*A4_pdg1-2	1.5876
151	31	pdgfra*A4_pdg1-2	1.7748
152	32	pdgfra*A4_pdg1-2	2.0578
153	33	pdgfra*A4_pdg1-2	2.4143
154	34	pdgfra*A4_pdg1-2	2.7766
155	35	pdgfra*A4_pdg1-2	3.0919
156	36	pdgfra*A4_pdg1-2	3.3605
157	37	pdgfra*A4_pdg1-2	3.5651
158	38	pdgfra*A4_pdg1-2	3.7254
159	39	pdgfra*A4_pdg1-2	3.8435
160	40	pdgfra*A4_pdg1-2	3.9433
161	1	pdgfra*A5_pdg1-2	1.7223
162	2	pdgfra*A5_pdg1-2	1.7109
163	3	pdgfra*A5_pdg1-2	1.7047
164	4	pdgfra*A5_pdg1-2	1.7024
165	5	pdgfra*A5_pdg1-2	1.6963
166	6	pdgfra*A5_pdg1-2	1.6918
167	7	pdgfra*A5_pdg1-2	1.6959
168	8	pdgfra*A5_pdg1-2	1.6916
169	9	pdgfra*A5_pdg1-2	1.6901
170	10	pdgfra*A5_pdg1-2	1.691
171	11	pdgfra*A5_pdg1-2	1.693
172	12	pdgfra*A5_pdg1-2	1.6901
173	13	pdgfra*A5_pdg1-2	1.6883
174	14	pdgfra*A5_pdg1-2	1.6899
175	15	pdgfra*A5_pdg1-2	1.6863
176	16	pdgfra*A5_pdg1-2	1.6918
177	17	pdgfra*A5_pdg1-2	1.6921
178	18	pdgfra*A5_pdg1-2	1.691
179	19	pdgfra*A5_pdg1-2	1.6913
180	20	pdgfra*A5_pdg1-2	1.6921
181	21	pdgfra*A5_pdg1-2	1.6923
182	22	pdgfra*A5_pdg1-2	1.6928
183	23	pdgfra*A5_pdg1-2	1.6963
184	24	pdgfra*A5_pdg1-2	1.7002
185	25	pdgfra*A5_pdg1-2	1.7057
186	26	pdgfra*A5_pdg1-2	1.7168
187	27	pdgfra*A5_pdg1-2	1.7355
188	28	pdgfra*A5_pdg1-2	1.7754
189	29	pdgfra*A5_pdg1-2	1.8516
190	30	pdgfra*A5_pdg1-2	2.0028
191	31	pdgfra*A5_pdg1-2	2.273
192	32	pdgfra*A5_pdg1-2	2.674
193	33	pdgfra*A5_pdg1-2	3.1624
194	34	pdgfra*A5_pdg1-2	3.6465
195	35	pdgfra*A5_pdg1-2	4.0519
196	36	pdgfra*A5_pdg1-2	4.4006
197	37	pdgfra*A5_pdg1-2	4.665
198	38	pdgfra*A5_pdg1-2	4.8699
199	39	pdgfra*A5_pdg1-2	5.0211
200	40	pdgfra*A5_pdg1-2	5.1343
201	1	pdgfra*A6_pdg1-2	1.6743
202	2	pdgfra*A6_pdg1-2	1.6597
203	3	pdgfra*A6_pdg1-2	1.6518
204	4	pdgfra*A6_pdg1-2	1.649
205	5	pdgfra*A6_pdg1-2	1.6442
206	6	pdgfra*A6_pdg1-2	1.6406
207	7	pdgfra*A6_pdg1-2	1.6404
208	8	pdgfra*A6_pdg1-2	1.6422
209	9	pdgfra*A6_pdg1-2	1.6369
210	10	pdgfra*A6_pdg1-2	1.6362
211	11	pdgfra*A6_pdg1-2	1.6385
212	12	pdgfra*A6_pdg1-2	1.6374
213	13	pdgfra*A6_pdg1-2	1.6401
214	14	pdgfra*A6_pdg1-2	1.6383
215	15	pdgfra*A6_pdg1-2	1.6383
216	16	pdgfra*A6_pdg1-2	1.6398
217	17	pdgfra*A6_pdg1-2	1.64
218	18	pdgfra*A6_pdg1-2	1.6422
219	19	pdgfra*A6_pdg1-2	1.6342
220	20	pdgfra*A6_pdg1-2	1.6401
221	21	pdgfra*A6_pdg1-2	1.6417
222	22	pdgfra*A6_pdg1-2	1.6401
223	23	pdgfra*A6_pdg1-2	1.6473
224	24	pdgfra*A6_pdg1-2	1.6498
225	25	pdgfra*A6_pdg1-2	1.6534
226	26	pdgfra*A6_pdg1-2	1.6561
227	27	pdgfra*A6_pdg1-2	1.6831
228	28	pdgfra*A6_pdg1-2	1.7178
229	29	pdgfra*A6_pdg1-2	1.7902
230	30	pdgfra*A6_pdg1-2	1.9276
231	31	pdgfra*A6_pdg1-2	2.1714
232	32	pdgfra*A6_pdg1-2	2.5545
233	33	pdgfra*A6_pdg1-2	3.0103
234	34	pdgfra*A6_pdg1-2	3.4748
235	35	pdgfra*A6_pdg1-2	3.8719
236	36	pdgfra*A6_pdg1-2	4.1961
237	37	pdgfra*A6_pdg1-2	4.452
238	38	pdgfra*A6_pdg1-2	4.6515
239	39	pdgfra*A6_pdg1-2	4.8018
240	40	pdgfra*A6_pdg1-2	4.9121
481	1	pdgfra*B1_scr1-1	1.6766
482	2	pdgfra*B1_scr1-1	1.667
483	3	pdgfra*B1_scr1-1	1.6581
484	4	pdgfra*B1_scr1-1	1.6568
485	5	pdgfra*B1_scr1-1	1.6485
486	6	pdgfra*B1_scr1-1	1.6463
487	7	pdgfra*B1_scr1-1	1.65
488	8	pdgfra*B1_scr1-1	1.6458
489	9	pdgfra*B1_scr1-1	1.6447
490	10	pdgfra*B1_scr1-1	1.641
491	11	pdgfra*B1_scr1-1	1.6458
492	12	pdgfra*B1_scr1-1	1.6463
493	13	pdgfra*B1_scr1-1	1.6452
494	14	pdgfra*B1_scr1-1	1.6452
495	15	pdgfra*B1_scr1-1	1.6444
496	16	pdgfra*B1_scr1-1	1.6447
497	17	pdgfra*B1_scr1-1	1.6467
498	18	pdgfra*B1_scr1-1	1.6429
499	19	pdgfra*B1_scr1-1	1.6492
500	20	pdgfra*B1_scr1-1	1.6463
501	21	pdgfra*B1_scr1-1	1.6475
502	22	pdgfra*B1_scr1-1	1.6488
503	23	pdgfra*B1_scr1-1	1.6514
504	24	pdgfra*B1_scr1-1	1.6559
505	25	pdgfra*B1_scr1-1	1.6695
506	26	pdgfra*B1_scr1-1	1.6842
507	27	pdgfra*B1_scr1-1	1.716
508	28	pdgfra*B1_scr1-1	1.783
509	29	pdgfra*B1_scr1-1	1.9097
510	30	pdgfra*B1_scr1-1	2.1516
511	31	pdgfra*B1_scr1-1	2.5198
512	32	pdgfra*B1_scr1-1	2.9666
513	33	pdgfra*B1_scr1-1	3.4567
514	34	pdgfra*B1_scr1-1	3.8768
515	35	pdgfra*B1_scr1-1	4.2196
516	36	pdgfra*B1_scr1-1	4.5106
517	37	pdgfra*B1_scr1-1	4.7282
518	38	pdgfra*B1_scr1-1	4.9092
519	39	pdgfra*B1_scr1-1	4.9943
520	40	pdgfra*B1_scr1-1	5.1191
521	1	pdgfra*B2_scr1-1	1.6435
522	2	pdgfra*B2_scr1-1	1.6356
523	3	pdgfra*B2_scr1-1	1.6444
524	4	pdgfra*B2_scr1-1	1.6404
525	5	pdgfra*B2_scr1-1	1.6369
526	6	pdgfra*B2_scr1-1	1.6364
527	7	pdgfra*B2_scr1-1	1.6346
528	8	pdgfra*B2_scr1-1	1.6342
529	9	pdgfra*B2_scr1-1	1.6327
530	10	pdgfra*B2_scr1-1	1.6326
531	11	pdgfra*B2_scr1-1	1.6336
532	12	pdgfra*B2_scr1-1	1.6326
533	13	pdgfra*B2_scr1-1	1.6328
534	14	pdgfra*B2_scr1-1	1.6328
535	15	pdgfra*B2_scr1-1	1.6334
536	16	pdgfra*B2_scr1-1	1.6332
537	17	pdgfra*B2_scr1-1	1.634
538	18	pdgfra*B2_scr1-1	1.6337
539	19	pdgfra*B2_scr1-1	1.6355
540	20	pdgfra*B2_scr1-1	1.6342
541	21	pdgfra*B2_scr1-1	1.6371
542	22	pdgfra*B2_scr1-1	1.636
543	23	pdgfra*B2_scr1-1	1.6378
544	24	pdgfra*B2_scr1-1	1.6427
545	25	pdgfra*B2_scr1-1	1.6512
546	26	pdgfra*B2_scr1-1	1.6671
547	27	pdgfra*B2_scr1-1	1.6949
548	28	pdgfra*B2_scr1-1	1.7534
549	29	pdgfra*B2_scr1-1	1.8646
550	30	pdgfra*B2_scr1-1	2.0769
551	31	pdgfra*B2_scr1-1	2.4105
552	32	pdgfra*B2_scr1-1	2.8379
553	33	pdgfra*B2_scr1-1	3.301
554	34	pdgfra*B2_scr1-1	3.7195
555	35	pdgfra*B2_scr1-1	4.0583
556	36	pdgfra*B2_scr1-1	4.3414
557	37	pdgfra*B2_scr1-1	4.5561
558	38	pdgfra*B2_scr1-1	4.7221
559	39	pdgfra*B2_scr1-1	4.8371
560	40	pdgfra*B2_scr1-1	4.9416
561	1	pdgfra*B3_scr1-1	1.7508
562	2	pdgfra*B3_scr1-1	1.7447
563	3	pdgfra*B3_scr1-1	1.7363
564	4	pdgfra*B3_scr1-1	1.7333
565	5	pdgfra*B3_scr1-1	1.7278
566	6	pdgfra*B3_scr1-1	1.7241
567	7	pdgfra*B3_scr1-1	1.7246
568	8	pdgfra*B3_scr1-1	1.7231
569	9	pdgfra*B3_scr1-1	1.7198
570	10	pdgfra*B3_scr1-1	1.7214
571	11	pdgfra*B3_scr1-1	1.7203
